source,target,context
"No Results","Нет результатов",
"No deals found","Сделки не найдены",
"No leads found","Лиды не найдены",
"No results found","Результаты не найдены",
"No tasks found","Задачи не найдены",
Notes,Заметки,
Notification,Уведомление,
Notifications,Уведомления,
"Open","Открыть",
"Open Deal","Открыть сделку",
"Open Lead","Открыть лид",
Or,Или,
Organization,Организация,
Organizations,Организации,
Outgoing,Исходящий,
Owner,Владелец,
"Page Length","Записей на странице",
Phone,Телефон,
Pipeline,Воронка,
Previous,Назад,
Priority,Приоритет,
Private,Приватный,
"Profile","Профиль",
Public,Публичный,
"Quick Filters","Быстрые фильтры",
"Re-assign","Переназначить",
"Reason","Причина",
"Remove","Удалить",
"Remove Assignee","Удалить исполнителя",
"Rename","Переименовать",
"Reorder Columns","Изменить порядок столбцов",
"Reset","Сбросить",
"Reset Filters","Сбросить фильтры",
"Save","Сохранить",
"Save View","Сохранить вид",
Search,Поиск,
"Select","Выбрать",
"Select All","Выбрать все",
"Select Date","Выбрать дату",
"Send","Отправить",
"Send Email","Отправить письмо",
"Set Currency","Установить валюту",
"Settings","Настройки",
"Show","Показать",
"Show All","Показать все",
"Show Closed","Показать закрытые",
"Show More","Показать ещё",
"Sign Out","Выйти",
"Sort By","Сортировать по",
"Sort Order","Порядок сортировки",
Source,Источник,
Status,Статус,
"Subject","Тема",
"Task","Задача",
Tasks,Задачи,
"Territory","Территория",
"This action cannot be undone","Это действие нельзя отменить",
"Title","Заголовок",
"To","Кому",
"To Date","По дату",
Today,Сегодня,
"Total","Итого",
Type,Тип,
"Update","Обновить",
"Update View","Обновить вид",
Users,Пользователи,
Value,Значение,
View,Вид,
Views,Виды,
Website,Сайт,
"Website URL","URL сайта",
Yes,Да,
"Yesterday","Вчера",
"You","Вы",
"You don't have permission to perform this action","У вас нет прав для выполнения этого действия",
"ago","назад",
"and","и",
"comments","комментарии",
"contains","содержит",
"created","создан",
"days","дней",
"equals","равно",
"from now","через",
"hours","часов",
"in","в",
"is","является",
"is not","не является",
"is not set","не задано",
"is set","задано",
"like","похоже на",
"minutes","минут",
"months","месяцев",
"not contains","не содержит",
"not equals","не равно",
"not in","не в",
"not like","не похоже на",
"seconds","секунд",
"today","сегодня",
"weeks","недель",
"years","лет",
"yesterday","вчера",
Ascending,По возрастанию,
Descending,По убыванию,
"Created On","Дата создания",
"Modified On","Дата изменения",
"Assigned To","Назначен",
"Closed","Закрыто",
"Open","Открыто",
"In Progress","В процессе",
"Replied","Отвечено",
"Interested","Заинтересован",
"Not Interested","Не заинтересован",
"Do Not Contact","Не беспокоить",
"Junk","Спам",
"Qualifications","Квалификация",
"Won","Выиграна",
"Lost","Проиграна",
"Quotation","Предложение",
"Negotiation","Переговоры",
"Prospect","Перспектива",
"Proposal/Price Quote","Предложение/КП",
"Copy","Копировать",
"Paste","Вставить",
"Undo","Отменить",
"Redo","Повторить",
"Select Color","Выбрать цвет",
"No color","Без цвета",
"Add Tag","Добавить тег",
"Tags","Теги",
"Tag","Тег",
"Attachment","Вложение",
"File","Файл",
"Image","Изображение",
"Upload","Загрузить",
"Uploading...","Загрузка...",
"File size should be less than {0}","Размер файла должен быть меньше {0}",
"Language","Язык",
"Appearance","Внешний вид",
"Dark","Тёмная",
"Light","Светлая",
"System","Системная",
"Theme","Тема",
"Profile Settings","Настройки профиля",
"Change Password","Изменить пароль",
"Current Password","Текущий пароль",
"New Password","Новый пароль",
"Confirm Password","Подтвердите пароль",
"Passwords do not match","Пароли не совпадают",
"Password changed successfully","Пароль успешно изменён",
"Save Changes","Сохранить изменения",
"Changes saved successfully","Изменения сохранены",
"Discard Changes","Отменить изменения",
"Are you sure?","Вы уверены?",
"Confirm","Подтвердить",
"Bulk Delete","Массовое удаление",
"Reassign","Переназначить",
"Select {0}","Выбрать {0}",
"{0} selected","{0} выбрано",
"Select Currency","Выбрать валюту",
"Dashboard Currency","Валюта дашборда",
"Forecasting","Прогнозирование",
"Probability","Вероятность",
"Close Date","Дата закрытия",
"Contact Person","Контактное лицо",
"Job Title","Должность",
"LinkedIn","LinkedIn",
"Twitter","Twitter",
"Facebook","Facebook",
"Salutation","Обращение",
"Gender","Пол",
"Date of Birth","Дата рождения",
"Address","Адрес",
"City","Город",
"Country","Страна",
"State","Регион",
"Zip Code","Индекс",
"Number of Employees","Количество сотрудников",
"Annual Revenue","Годовой доход",
"Industry","Отрасль",
"Lead Owner","Ответственный",
"Deal Owner","Ответственный за сделку",
"Linked Deals","Связанные сделки",
"Linked Contacts","Связанные контакты",
"Linked Organizations","Связанные организации",
"Linked Leads","Связанные лиды",
"Add Deal","Добавить сделку",
"Add Lead","Добавить лид",
"Add Contact","Добавить контакт",
"Add Organization","Добавить организацию",
"Discuss","Обсудить",
"WhatsApp","WhatsApp",
"SMS","SMS",
"Compose Email","Написать письмо",
"Reply","Ответить",
"Reply All","Ответить всем",
"Forward","Переслать",
"Mark as Read","Отметить как прочитанное",
"Mark as Unread","Отметить как непрочитанное",
"Trash","Корзина",
"Inbox","Входящие",
"Sent","Отправленные",
"Drafts","Черновики",
"All Emails","Все письма",
"New Email","Новое письмо",
"Recipient","Получатель",
"CC","Копия",
"BCC","Скрытая копия",
"Body","Текст",
"Send Email","Отправить письмо",
"Schedule","Расписание",
"Scheduled","Запланировано",
"Overdue","Просрочено",
"Completed","Выполнено",
"Cancelled","Отменено",
"Pending","В ожидании",
"Active","Активный",
"Inactive","Неактивный",
"Enabled","Включено",
"Disabled","Отключено",
"Required","Обязательно",
"Optional","Необязательно",
"Mandatory","Обязательное поле",
"Please fill all required fields","Пожалуйста, заполните все обязательные поля",
"This field is required","Это поле обязательно",
"Invalid email address","Неверный адрес эл. почты",
"Invalid phone number","Неверный номер телефона",
"Invalid URL","Неверный URL",
"Enter a valid email","Введите корректный email",
"Contact Name","Имя контакта",
"Note","Заметка",
"Note Title","Заголовок заметки",
"Note Content","Содержание заметки",
"Pinned","Закреплено",
"Pin","Закрепить",
"Unpin","Открепить",
"Restore","Восстановить",
"Archive","Архив",
"Archived","В архиве",
"More","Ещё",
"Less","Меньше",
"Show Less","Показать меньше",
"View All","Посмотреть все",
"See All","Посмотреть все",
"Total Records","Всего записей",
"Showing {0} of {1}","Показано {0} из {1}",
"Page {0} of {1}","Страница {0} из {1}",
"Rows per page","Записей на странице",
"Jump to page","Перейти на страницу",
"First","Первая",
"Last","Последняя",
"of","из",
"rows","строк",
"Sort","Сортировка",
"Group","Группа",
"Columns","Столбцы",
"Reset to Default","Сбросить к умолчанию",
"Column Width","Ширина столбца",
"Row Height","Высота строки",
"Compact","Компактный",
"Comfortable","Комфортный",
"Spacious","Просторный",
"Kanban Column","Колонка канбан",
"Add Column","Добавить колонку",
"Move to","Переместить в",
"Collapse Column","Свернуть колонку",
"Expand Column","Развернуть колонку",
"Delete Column","Удалить колонку",
"Rename Column","Переименовать колонку",
"No records","Нет записей",
"No records found","Записи не найдены",
"Create new","Создать новый",
"Import from CSV","Импортировать из CSV",
"Export to CSV","Экспортировать в CSV",
"Export to Excel","Экспортировать в Excel",
"Print","Печать",
"Share","Поделиться",
"Share Link","Ссылка для sharing",
"Copy Link","Копировать ссылку",
"Link Copied","Ссылка скопирована",
"Notification Settings","Настройки уведомлений",
"Email Notifications","Уведомления на почту",
"Push Notifications","Push-уведомления",
"Mark all as read","Отметить все как прочитанные",
"No notifications","Нет уведомлений",
"View all notifications","Посмотреть все уведомления",
"mentioned you in","упомянул вас в",
"assigned you","назначил вас",
"commented on","прокомментировал",
"replied to your comment","ответил на ваш комментарий",
"Deal Stage","Этап сделки",
"Stage","Этап",
"Probability (%)","Вероятность (%)",
"Close Date","Дата закрытия",
"Deal Value","Стоимость сделки",
"Currency","Валюта",
"Contact","Контакт",
"Organization","Организация",
"Lead Status","Статус лида",
"Deal Status","Статус сделки",
"Next Contact Date","Следующая дата контакта",
"Next Contact Time","Следующее время контакта",
"Lead Name","Имя лида",
"Company Name","Название компании",
"No. of Employees","Кол-во сотрудников",
"Territory","Территория",
"Industry","Отрасль",
"Referred By","Рекомендован",
"Qualification Status","Статус квалификации",
"Call For Demo","Звонок для демо",
"Converted","Конвертирован",
"Not Contacted","Не связались",
"Contacted","Связались",
"Lost Quotation","Потерянное предложение",
"Response","Ответ",
"Response Time","Время ответа",
"First Response Time","Время первого ответа",
"Average Response Time","Среднее время ответа",
"Handling Time","Время обработки",
"Resolution Time","Время решения",
"Show Seconds","Показать секунды",
"Show Minutes","Показать минуты",
"Show Hours","Показать часы",
"Show Days","Показать дни",
"Incoming Call","Входящий звонок",
"Outgoing Call","Исходящий звонок",
"Missed Call","Пропущенный звонок",
"Call Duration","Длительность звонка",
"Call Recording","Запись звонка",
"Caller","Звонящий",
"Receiver","Получатель",
"Call Status","Статус звонка",
"Ringing","Звонит",
"Busy","Занято",
"No Answer","Нет ответа",
"Completed","Завершён",
"Failed","Ошибка",
"Voicemail","Голосовая почта",
"Transfer","Перевести",
"Hold","Удержание",
"Mute","Отключить звук",
"Unmute","Включить звук",
"End Call","Завершить звонок",
"Decline","Отклонить",
"Call Notes","Заметки звонка",
"Quick Note","Быстрая заметка",
"Save Note","Сохранить заметку",
"Link to","Связать с",
"Linked to","Связан с",
"Unlink","Разорвать связь",
"Convert to Deal","Конвертировать в сделку",
"Convert to Contact","Конвертировать в контакт",
"Merge","Объединить",
"Split","Разделить",
"Duplicate Record","Дублировать запись",
"Are you sure you want to delete {0} records?","Вы уверены, что хотите удалить {0} записей?",
"Are you sure you want to delete this record?","Вы уверены, что хотите удалить эту запись?",
"{0} records deleted","{0} записей удалено",
"Record deleted successfully","Запись успешно удалена",
"Record saved successfully","Запись успешно сохранена",
"Record updated successfully","Запись успешно обновлена",
"Failed to save record","Не удалось сохранить запись",
"Failed to delete record","Не удалось удалить запись",
"Unsaved Changes","Несохранённые изменения",
"You have unsaved changes. Do you want to discard them?","Есть несохранённые изменения. Отменить их?",
"Stay","Остаться",
"Discard","Отменить",
"Saved","Сохранено",
"Saving...","Сохранение...",
"Loading...","Загрузка...",
"Please wait...","Подождите...",
"Processing...","Обработка...",
"Submitting...","Отправка...",
"Deleting...","Удаление...",
"Done!","Готово!",
"Success!","Успешно!",
"Failed!","Ошибка!",
"Warning","Предупреждение",
"Info","Информация",
"Tip","Подсказка",
"Help","Помощь",
"Documentation","Документация",
"Contact Support","Связаться с поддержкой",
"Report a Bug","Сообщить об ошибке",
"Feedback","Обратная связь",
"Version","Версия",
"Keyboard Shortcuts","Горячие клавиши",
"About","О программе",
"Logout","Выйти",
"Sign Out","Выйти",
"Switch Account","Сменить аккаунт",
"My Profile","Мой профиль",
"Account Settings","Настройки аккаунта",
"System Settings","Системные настройки",
"General Settings","Общие настройки",
"Advanced Settings","Расширенные настройки",
"Security","Безопасность",
"Privacy","Конфиденциальность",
"Integrations","Интеграции",
"Webhooks","Вебхуки",
"API","API",
"Logs","Журналы",
"Audit Trail","Журнал аудита",
"Error Log","Журнал ошибок",
"Access Log","Журнал доступа",
"Data Import","Импорт данных",
"Data Export","Экспорт данных",
"Backup","Резервная копия",
"Restore","Восстановить",
"Clear Cache","Очистить кэш",
"Reload","Перезагрузить",
"Refresh","Обновить",
"Sync","Синхронизировать",
"Syncing...","Синхронизация...",
"Last synced","Последняя синхронизация",
"Sync Now","Синхронизировать сейчас",
"Auto Sync","Автосинхронизация",
"Connection Error","Ошибка соединения",
"Server Error","Ошибка сервера",
"Network Error","Ошибка сети",
"Timeout","Время ожидания истекло",
"Unauthorized","Нет авторизации",
"Forbidden","Доступ запрещён",
"Not Found","Не найдено",
"Internal Server Error","Внутренняя ошибка сервера",
"Bad Request","Неверный запрос",
"Try Again","Попробовать снова",
"Retry","Повторить",
"Dismiss","Закрыть",
"OK","ОК",
"Apply","Применить",
"Continue","Продолжить",
"Skip","Пропустить",
"Finish","Завершить",
"Complete","Завершить",
"Submit","Отправить",
"Approve","Одобрить",
"Reject","Отклонить",
"Review","Проверить",
"Pending Review","На проверке",
"Approved","Одобрено",
"Rejected","Отклонено",
"Draft","Черновик",
"Published","Опубликовано",
"Unpublished","Не опубликовано",
"Featured","Избранное",
"Hidden","Скрыто",
"Visible","Видимо",
"Select All","Выбрать все",
"Deselect All","Снять выделение",
"Invert Selection","Инвертировать выбор",
"Selected","Выбрано",
"Unselected","Не выбрано",
"None","Нет",
"All","Все",
"Any","Любой",
"Other","Другое",
"Unknown","Неизвестно",
"N/A","Н/Д",
"True","Да",
"False","Нет",
"Enabled","Включено",
"Disabled","Отключено",
"On","Вкл",
"Off","Выкл",
"Show","Показать",
"Hide","Скрыть",
"Expand","Развернуть",
"Collapse","Свернуть",
"Open","Открыть",
"Close","Закрыть",
"Lock","Заблокировать",
"Unlock","Разблокировать",
"Pin","Закрепить",
"Unpin","Открепить",
"Star","В избранное",
"Unstar","Убрать из избранного",
"Follow","Подписаться",
"Unfollow","Отписаться",
"Watch","Отслеживать",
"Unwatch","Не отслеживать",
"Like","Нравится",
"Unlike","Не нравится",
"Today","Сегодня",
"Tomorrow","Завтра",
"Yesterday","Вчера",
"This Week","Эта неделя",
"Last Week","Прошлая неделя",
"This Month","Этот месяц",
"Last Month","Прошлый месяц",
"This Quarter","Этот квартал",
"This Year","Этот год",
"Last Year","Прошлый год",
"Custom Range","Произвольный период",
"Date Range","Диапазон дат",
"Start Date","Дата начала",
"End Date","Дата окончания",
"Due Date","Срок",
"Created","Создан",
"Modified","Изменён",
"Deleted","Удалён",
"Creation","Дата создания",
"Time","Время",
"Date","Дата",
"DateTime","Дата и время",
"Now","Сейчас",
"Never","Никогда",
"Always","Всегда",
"Once","Однажды",
"Daily","Ежедневно",
"Weekly","Еженедельно",
"Monthly","Ежемесячно",
"Quarterly","Ежеквартально",
"Yearly","Ежегодно",
"Monday","Понедельник",
"Tuesday","Вторник",
"Wednesday","Среда",
"Thursday","Четверг",
"Friday","Пятница",
"Saturday","Суббота",
"Sunday","Воскресенье",
"January","Январь",
"February","Февраль",
"March","Март",
"April","Апрель",
"May","Май",
"June","Июнь",
"July","Июль",
"August","Август",
"September","Сентябрь",
"October","Октябрь",
"November","Ноябрь",
"December","Декабрь",
"just now","только что",
"a minute ago","минуту назад",
"a few minutes ago","несколько минут назад",
"{0} minutes ago","{0} минут назад",
"an hour ago","час назад",
"{0} hours ago","{0} часов назад",
"a day ago","день назад",
"{0} days ago","{0} дней назад",
"a week ago","неделю назад",
"{0} weeks ago","{0} недель назад",
"a month ago","месяц назад",
"{0} months ago","{0} месяцев назад",
"a year ago","год назад",
"{0} years ago","{0} лет назад",
"1 minute ago","1 минуту назад",
"1 hour ago","1 час назад",
"1 week ago","1 неделю назад",
"1 month ago","1 месяц назад",
"1 year ago","1 год назад",
"1 day ago","1 день назад",
"in 1 minute","через 1 минуту",
"in {0} minutes","через {0} минут",
"in 1 hour","через 1 час",
"in {0} hours","через {0} часов",
"in 1 day","через 1 день",
"in {0} days","через {0} дней",
"Assigned to me","Назначено мне",
"Created by me","Создано мной",
"Modified by me","Изменено мной",
"My Leads","Мои лиды",
"My Deals","Мои сделки",
"My Tasks","Мои задачи",
"My Notes","Мои заметки",
"Team","Команда",
"Member","Участник",
"Members","Участники",
"Role","Роль",
"Roles","Роли",
"Permission","Разрешение",
"Permissions","Разрешения",
"Access","Доступ",
"Read","Читать",
"Write","Писать",
"Create","Создавать",
"Delete","Удалять",
"Submit","Отправлять",
"Full Access","Полный доступ",
"No Access","Нет доступа",
"Restricted","Ограничено",
"Manager","Менеджер",
"Administrator","Администратор",
"User","Пользователь",
"Guest","Гость",
"Owner","Владелец",
"System Manager","Системный менеджер",
"Sales Manager","Менеджер по продажам",
"Sales User","Пользователь продаж",
"Workflow","Процесс",
"Stage","Этап",
"Transition","Переход",
"Action","Действие",
"Trigger","Триггер",
"Condition","Условие",
"Rule","Правило",
"Template","Шаблон",
"Variable","Переменная",
"Field","Поле",
"Label","Метка",
"Value","Значение",
"Default Value","Значение по умолчанию",
"Placeholder","Заполнитель",
"Options","Варианты",
"Required","Обязательное",
"Read Only","Только для чтения",
"Hidden","Скрытое",
"Depends On","Зависит от",
"Mandatory Depends On","Обязательность зависит от",
"Read Only Depends On","Только чтение зависит от",
"Bold","Жирный",
"In List View","В списке",
"In Standard Filter","В стандартном фильтре",
"Fieldtype","Тип поля",
"Fieldname","Имя поля",
"Module","Модуль",
"Doctype","Тип документа",
"Document","Документ",
"Record","Запись",
"Link","Ссылка",
"Table","Таблица",
"Section Break","Разрыв секции",
"Column Break","Разрыв колонки",
"Tab Break","Разрыв вкладки",
"HTML","HTML",
"Markdown","Markdown",
"Code","Код",
"Signature","Подпись",
"Color","Цвет",
"Barcode","Штрихкод",
"Geolocation","Геолокация",
"Rating","Рейтинг",
"Duration","Длительность",
"Password","Пароль",
"Data","Данные",
"Small Text","Короткий текст",
"Long Text","Длинный текст",
"Text","Текст",
"Text Editor","Редактор текста",
"Int","Целое число",
"Float","Число с плавающей точкой",
"Currency","Валюта",
"Percent","Процент",
"Check","Галочка",
"Date","Дата",
"Time","Время",
"Datetime","Дата и время",
"Select","Выбор",
"Autocomplete","Автодополнение",
"Dynamic Link","Динамическая ссылка",
"File","Файл",
"Attach","Прикрепить",
"Attach Image","Прикрепить изображение",
"Image","Изображение",
"JSON","JSON",
"Button","Кнопка",
"Custom Field","Пользовательское поле",
"Standard Field","Стандартное поле",
"All Fields","Все поля",
"No fields found","Поля не найдены",
"Search fields...","Поиск полей...",
"Search...","Поиск...",
"Type to search","Введите для поиска",
"No options","Нет вариантов",
"Loading options...","Загрузка вариантов...",
"Select an option","Выберите вариант",
"Clear","Очистить",
"Reset","Сбросить",
"Apply Filters","Применить фильтры",
"Clear Filters","Очистить фильтры",
"Active Filters","Активные фильтры",
"No active filters","Нет активных фильтров",
"Add filter...","Добавить фильтр...",
"Filter by","Фильтровать по",
"Sort by","Сортировать по",
"Group by","Группировать по",
"Ascending","По возрастанию",
"Descending","По убыванию",
"Default Sort","Сортировка по умолчанию",
"Pin Column","Закрепить столбец",
"Unpin Column","Открепить столбец",
"Hide Column","Скрыть столбец",
"Resize Column","Изменить ширину",
"Move Column","Переместить столбец",
"Insert Column Left","Вставить столбец слева",
"Insert Column Right","Вставить столбец справа",
"Delete Column","Удалить столбец",
"Freeze Column","Заморозить столбец",
"Unfreeze Column","Разморозить столбец",
"Row Actions","Действия строки",
"Edit Row","Редактировать строку",
"Delete Row","Удалить строку",
"Duplicate Row","Дублировать строку",
"Insert Row Above","Вставить строку выше",
"Insert Row Below","Вставить строку ниже",
"Move Row Up","Переместить строку вверх",
"Move Row Down","Переместить строку вниз",
"No rows","Нет строк",
"Add a row","Добавить строку",
"Remove row","Удалить строку",
"Click to edit","Нажмите для редактирования",
"Double click to edit","Дважды нажмите для редактирования",
"Press Enter to save","Нажмите Enter для сохранения",
"Press Escape to cancel","Нажмите Escape для отмены",
"Invalid value","Неверное значение",
"Value is required","Значение обязательно",
"Maximum value is {0}","Максимальное значение: {0}",
"Minimum value is {0}","Минимальное значение: {0}",
"Maximum length is {0}","Максимальная длина: {0}",
"Minimum length is {0}","Минимальная длина: {0}",
"Invalid format","Неверный формат",
"Duplicate value","Дублирующееся значение",
"Value already exists","Значение уже существует",
"Save & New","Сохранить и создать новый",
"Save & Close","Сохранить и закрыть",
"Save & Continue","Сохранить и продолжить",
"Discard & Close","Отменить и закрыть",
"Back to List","Назад к списку",
"View Record","Посмотреть запись",
"Edit Record","Редактировать запись",
"New Record","Новая запись",
"Duplicate Record","Дублировать запись",
"Delete Record","Удалить запись",
"Print Record","Печатать запись",
"Share Record","Поделиться записью",
"Assign","Назначить",
"Unassign","Снять назначение",
"Comment","Комментарий",
"Activity Log","Журнал активности",
"Change Log","Журнал изменений",
"Version History","История версий",
"Restore Version","Восстановить версию",
"Compare Versions","Сравнить версии",
"Current Version","Текущая версия",
"Previous Version","Предыдущая версия",
"Changed by","Изменено",
"Changed on","Изменено",
"Field","Поле",
"From","Из",
"To","В",
"Old Value","Старое значение",
"New Value","Новое значение",
"No changes","Нет изменений",
"Capture","Захватить",
"Qualify","Квалифицировать",
"Proposal","Предложение",
"Negotiate","Переговоры",
"Close","Закрыть",
"Onboarding","Онбординг",
"Get Started","Начать",
"Next Step","Следующий шаг",
"Previous Step","Предыдущий шаг",
"Step {0} of {1}","Шаг {0} из {1}",
"Complete Setup","Завершить настройку",
"Setup Complete","Настройка завершена",
"Skip Setup","Пропустить настройку",
"Reset Setup","Сбросить настройку",
"Quick Setup","Быстрая настройка",
"Full Setup","Полная настройка",
"Custom Setup","Пользовательская настройка",
"Setup Guide","Руководство по настройке",
"Getting Started Guide","Руководство для начала",
"Welcome to Frappe CRM","Добро пожаловать в Frappe CRM",
"Frappe CRM","CRM",
"CRM","CRM",
"Dashboard","Дашборд",
"Reports","Отчёты",
"Analytics","Аналитика",
"Pipeline View","Вид воронки",
"Table View","Вид таблицы",
"Board View","Вид доски",
"List View","Вид списка",
"Card View","Вид карточек",
"Calendar View","Вид календаря",
"Map View","Вид карты",
"Timeline View","Временная шкала",
"Gantt View","Диаграмма Ганта",
"Tree View","Вид дерева",
"Custom View","Пользовательский вид",
"Standard View","Стандартный вид",
"Public View","Публичный вид",
"Private View","Приватный вид",
"Default View","Вид по умолчанию",
"Set as Default","Установить по умолчанию",
"Save as New View","Сохранить как новый вид",
"Rename View","Переименовать вид",
"Clone View","Клонировать вид",
"Delete View","Удалить вид",
"Share View","Поделиться видом",
"View Settings","Настройки вида",
"Column Settings","Настройки столбцов",
"Filter Settings","Настройки фильтров",
"Sort Settings","Настройки сортировки",
"Group Settings","Настройки группировки",
"Sync from 1C","Синхронизировать из 1С",
"Sync","Синхронизировать",
"Synchronized","Синхронизировано",
"Last Sync","Последняя синхронизация",
"Items Synced","Синхронизировано элементов",
"Sync Error","Ошибка синхронизации",
"1 hr","1 ч",
"1 min","1 мин",
